seed,greedy_accuracy_percent,cgear_accuracy_percent,cgear_minus_greedy_accuracy_pp,outcome,greedy_selected_active_parameters,cgear_selected_active_parameters,selected_parameter_reduction,selected_parameter_reduction_percent,greedy_final_active_parameters,cgear_final_active_parameters,final_parameter_reduction,final_parameter_reduction_percent
41,85.92057761732852,88.4476534296029,2.5270758122743757,C-GEAR win,876412,836456,39956,4.5590430071701435,924050,853357,70693,7.650343596125751
42,87.72563176895306,87.36462093862815,-0.3610108303249149,C-GEAR loss,774991,758090,16901,2.180799518962156,940178,758090,182088,19.36739638664168
43,88.4476534296029,86.28158844765343,-2.166064981949461,C-GEAR loss,935570,771920,163650,17.49201021836955,935570,806492,129078,13.796722853447632
44,87.36462093862815,88.8086642599278,1.4440433212996453,C-GEAR win,787284,811103,-23819,-3.0254647623983213,935570,812640,122930,13.139583355601397
45,87.00361010830325,88.08664259927798,1.0830324909747304,C-GEAR win,818782,835689,-16907,-2.0648963948889936,933266,835689,97577,10.455432856227485
46,87.36462093862815,89.53068592057761,2.166064981949461,C-GEAR win,774991,758090,16901,2.180799518962156,933266,758090,175176,18.770211279528024
