source_artifact,schema_version,method,seed,run_segment,global_step,wall_time_seconds,state_role,split,accuracy,loss,total_active_rank,active_model_parameter_count,runtime_trainable_parameter_count,full_model_parameter_count,checkpoint,metrics
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1300,1294.01545454,training_trajectory_evaluation,validation,0.855595667870036,0.827508270740509,95,816481,982369,184814065,,"{""epoch"":16.67,""eval_accuracy"":0.855595667870036,""eval_loss"":0.827508270740509,""eval_runtime"":5.1518,""eval_samples_per_second"":53.768}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1400,1394.7915897900002,training_trajectory_evaluation,validation,0.8736462093862816,0.9965913891792297,97,821859,987747,184819443,,"{""epoch"":17.95,""eval_accuracy"":0.8736462093862816,""eval_loss"":0.9965913891792297,""eval_runtime"":5.1043,""eval_samples_per_second"":54.268}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1500,1494.0548551350003,training_trajectory_evaluation,validation,0.8628158844765343,0.9983212947845459,102,836456,1002344,184834040,,"{""epoch"":19.23,""eval_accuracy"":0.8628158844765343,""eval_loss"":0.9983212947845459,""eval_runtime"":5.0799,""eval_samples_per_second"":54.528}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1600,1595.2365718170004,training_trajectory_evaluation,validation,0.8844765342960289,0.9023662209510803,102,836456,1002344,184834040,,"{""epoch"":20.51,""eval_accuracy"":0.8844765342960289,""eval_loss"":0.9023662209510803,""eval_runtime"":5.5247,""eval_samples_per_second"":50.138}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1700,1694.044862797,training_trajectory_evaluation,validation,0.8808664259927798,0.9181689023971558,107,853357,853357,184850941,,"{""epoch"":21.79,""eval_accuracy"":0.8808664259927798,""eval_loss"":0.9181689023971558,""eval_runtime"":5.0645,""eval_samples_per_second"":54.694}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1800,1768.8074805079996,training_trajectory_evaluation,validation,0.8808664259927798,0.9478673934936523,107,853357,853357,184850941,,"{""epoch"":23.08,""eval_accuracy"":0.8808664259927798,""eval_loss"":0.9478673934936523,""eval_runtime"":4.9636,""eval_samples_per_second"":55.806}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1900,1846.5981295860001,training_trajectory_evaluation,validation,0.8772563176895307,0.9346701502799988,107,853357,853357,184850941,,"{""epoch"":24.36,""eval_accuracy"":0.8772563176895307,""eval_loss"":0.9346701502799988,""eval_runtime"":4.2906,""eval_samples_per_second"":64.56}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1950,1895.2392292269997,selected_best_checkpoint_evaluation,validation,0.8844765342960289,0.9023662209510803,102,836456,1002344,184834040,./output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/model/checkpoint-1600,"{""epoch"":25.0,""eval_accuracy"":0.8844765342960289,""eval_loss"":0.9023662209510803,""eval_mem_cpu_alloc_delta"":67422,""eval_mem_cpu_peaked_delta"":1891574,""eval_mem_gpu_alloc_delta"":0,""eval_mem_gpu_peaked_delta"":209138688,""eval_runtime"":5.4762,""eval_samples_per_second"":50.582}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,100,85.26028861899977,training_trajectory_evaluation,validation,0.5270758122743683,0.6936107873916626,72,758090,923978,184755674,,"{""epoch"":1.28,""eval_accuracy"":0.5270758122743683,""eval_loss"":0.6936107873916626,""eval_runtime"":5.2853,""eval_samples_per_second"":52.41}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,200,166.67979387600008,training_trajectory_evaluation,validation,0.7870036101083032,0.4757726788520813,72,758090,923978,184755674,,"{""epoch"":2.56,""eval_accuracy"":0.7870036101083032,""eval_loss"":0.4757726788520813,""eval_runtime"":5.1474,""eval_samples_per_second"":53.813}"
